Type_of_Metric,Command,Category,Count_
Approved Staffing,Priority Response Command,UNIFORM,1731
Approved Staffing,Specialized Operations Command,CIVILIAN,234
Approved Staffing,Specialized Operations Command,UNIFORM,914
Approved Staffing,Toronto Police Services Board,CIVILIAN,7.5
Actual Staffing,Centralized Service Charges,CIVILIAN,6
Actual Staffing,Centralized Service Charges,UNIFORM,30
Actual Staffing,Chief of Police,CIVILIAN,65
Actual Staffing,Chief of Police,UNIFORM,32
Actual Staffing,Communities & Neighbourhoods Command,CIVILIAN,210
Actual Staffing,Communities & Neighbourhoods Command,UNIFORM,1906
Actual Staffing,Corporate Support Command,CIVILIAN,442
Actual Staffing,Corporate Support Command,UNIFORM,22
Actual Staffing,Human Resources Command,CIVILIAN,101
Actual Staffing,Human Resources Command,UNIFORM,184
Actual Staffing,Information Technology Command,CIVILIAN,161
Actual Staffing,Parking Enforcement Unit,CIVILIAN,395
Actual Staffing,Parking Enforcement Unit,UNIFORM,3
Actual Staffing,Priority Response Command,CIVILIAN,1068
Actual Staffing,Priority Response Command,UNIFORM,1663
Actual Staffing,Specialized Operations Command,CIVILIAN,230
Actual Staffing,Specialized Operations Command,UNIFORM,1007
Actual Staffing,Toronto Police Services Board,CIVILIAN,6.5
Approved Staffing,Centralized Service Charges,CIVILIAN,158
Approved Staffing,Centralized Service Charges,UNIFORM,61
Approved Staffing,Chief of Police,CIVILIAN,77
Approved Staffing,Chief of Police,UNIFORM,31
Approved Staffing,Communities & Neighbourhoods Command,CIVILIAN,217
Approved Staffing,Communities & Neighbourhoods Command,UNIFORM,1926
Approved Staffing,Corporate Support Command,CIVILIAN,490
Approved Staffing,Corporate Support Command,UNIFORM,40
Approved Staffing,Human Resources Command,CIVILIAN,134
Approved Staffing,Human Resources Command,UNIFORM,174
Approved Staffing,Information Technology Command,CIVILIAN,189
Approved Staffing,Parking Enforcement Unit,CIVILIAN,386
Approved Staffing,Parking Enforcement Unit,UNIFORM,8
Approved Staffing,Priority Response Command,CIVILIAN,1150
Approved Staffing,Priority Response Command,UNIFORM,1865
